id;english;english_us;français;日本語
server.us.lm.L1;The chosen language is already yours.;The chosen language is already yours.;La langue choisie est déjà la vôtre.;選ばれた言語は、すでに[NAME]のものです。
server.us.lm.L2;The language has been changed!;The language has been changed!;La langue a été modifiée !;言語が変更されています！
server.us.lm.L3;The given language doesn’t exist.;The given language doesn’t exist.;La langue donnée n’existe pas.;与えられた言語は存在しません。
general.mark.dot;. ;. ;. ;。
general.mark.comma;, ;, ;, ;、
general.word.and; and ; and ; et ;と
server.us.lm.Ls1;Available languages: ;Available languages: ;Langues disponibles : ;利用可能な言語：
general.form.date;[DAY]/[MONTH]/[YEAR] at [HOUR]:[MINUTES] [TIMESET];[MONTH]/[DAY]/[YEAR]  at [HOUR]:[MINUTES] [TIMESET];[DAY]/[MONTH]/[YEAR] à [HOUR]h[MINUTES];[YEAR]年[MONTH]月[DAY]日の[HOUR]時[MINUTES]分
server.us.um.L1;User information;User information;Information d’utilisateur;ユーザーの情報
server.us.um.L2;Name on the server;Name on the server;Nom sur le serveur;サーバーにユーザーの名
server.us.um.L3;Global name;Global name;Nom général;ユーザーのグローバル名
server.us.um.L4;ID;ID;Identifiant;イド
server.us.um.L5;Used language;Used language;Langue utilisée;使用言語
general.word.english;english;english;anglais;英語
general.word.english_us;American english;American english;anglais américain;アメリカ英語
general.word.français;french;french;français;フランス語
general.word.日本語;japanese;japanese;japonais;日本語
general.word.nan;unknown;unknown;inconnue;未知です
server.us.um.L6;Account created at;Account created at;Compte créé le;アカウントが作成された日付です
server.us.um.L7;The user is also: ;The user is also:;L’utilisateur est aussi : ;ユーザーのも：
general.word.robot;Robot;Robot;Robot;ロボット
general.word.fake;Fake;Fake;Faux;偽アカウント
general.word.pm;pm;pm;;
general.word.am;am;am;;
server.us.um.L8;Server joined at;Server joined at;Serveur rejoint le;サーバーを参加された日付です
command.help.title;List of commands;List of commands;Liste des commandes;コマンドのリスト
command.help.desc;Displays all commands.;Displays all commands.;Permet d’afficher la totalité des commandes.;すべてのコマンドを表示します。
command.help.field1;All commands;All commands;Toutes les commandes;すべてのコマンド
general.mark.double_dot;: ;: ; : ;：
command.help.required;[] : required\n() : not required;[] : required\n() : not required;[] : obligatoire\n() : pas obligatoire;［］：所要の\n（）：所要じゃない
command.help.field2;Useful;Useful;Utile;使用な
command.langs.desc;Allows you to know all the available languages.;Allows you to know all the available languages.;Permet de connaître toutes les langues disponibles.;利用可能なすべての言語をしることができます。
command.setlang.desc;Allows you to change the language in which P.S.S speaks to you. The `language` must be written in its original language.;Allows you to change the language in which P.S.S speaks to you. The `language` must be written in its original language.;Vous permet de changer la langue dans laquelle P.S.S vous parle. La `langue` doit être écrite dans sa langue d'origine.;P.S.Sが話しかけてくる言語を変更することができます。`言語`は元の言語で書かれていなければならない。
command.setlang.syntax; [language]; [language]; [langue];［言語］
command.userinfo.desc;Allows you to display certain information about yourself or a user. The targeted user must be mentioned to see his information.;Allows you to display certain information about yourself or a user. The targeted user must be mentioned to see his information.;Vous permet d'afficher certaines informations vous concernant ou concernant un utilisateur. L'utilisateur ciblé doit être mentionné pour voir ses informations.;自分自身やユーザーに関する特定の情報を表示することができます。対象となるユーザーの情報を見るためには、対象となるユーザーを記載する必要があります。
command.userinfo.syntax; (user); (user); (utilisateur);（ユーザー）
command.ping.title;Response time;Response time;Temps de réponse;応答時間 
command.ping.field;P.S.S’s response time: [PING]ms.;P.S.S’s response time: [PING]ms.;Le temps de réponse de P.S.S : [PING]ms.;P.S.Sの応答時間：[PING]ミリ秒。
command.ping.desc;Allows you to know the response time of P.S.S.;Allows you to know the response time of P.S.S.;Permet de connaître le temps de réponse de P.S.S.;P.S.Sの応答時間をしることができます。
command.error;This command is unusable as a private message.;This command is unusable as a private message.;Cette commande est inutilisable en message privée.;このコマンドはプライベートメッセージとしては使用できません。
command.jls.L1;You are not authorized to use this command.;You are not authorized to use this command.;Vous n’êtes pas authorisé à utiliser cette commande.;このコマンドを使用する権限はありません。
command.jls.jal.L1;The welcome channel is now [CHANNEL].;The welcome channel is now [CHANNEL].;Le salon de bienvenue est maintenant [CHANNEL].;ウェルカムチャンネルが[CHANNEL]になりました。
command.jls.jal.L2;The role of the new members is now [ROLE].;The role of the new members is now [ROLE].;Le rôle des nouveaux membres est maintenant [ROLE].;新メンバーの役は、今は[ROLE]です。
command.jls.jal.L3;The goodbye channel is now [CHANNEL].;The goodbye channel is now [CHANNEL].;Le salon d'au revoir est maintenant [CHANNEL].;さよならチャンネルが[CHANNEL]になりました。
command.server.desc;Allows to manage the server in a global way.;Allows to manage the server in a global way.;Permet de gérer le serveur d’un façon global.;グローバルな方法でサーバーを管理することができます。
command.help.alias;Alias: ;Alias: ;Alias : ;別名：
command.server.syntax; help; help; help; help
command.server.help.title;All server commands;All server commands;Toutes les commandes du serveur;すべてのサーバーコマンド
command.server.join_message.desc;Allows you to add or modify the welcome message.;Allows you to add or modify the welcome message.;Permet d’ajouter ou de modifier le message de bienvenue.;ウェルカムメッセージの追加や変更ができます。
command.server.join_message.syntax; [message]; [message]; [message];［メッセージ］
command.server.leave_message.syntax; [message]; [message]; [message];［メッセージ］
command.server.leave_message.desc;Allows you to add or modify the goodbye message.;Allows you to add or modify the goodbye message.;Permet d’ajouter ou de modifier le message d’au revoir.;さよならメッセージの追加や変更ができます。
command.server.join.desc;Allows you to add or modify the welcome channel.;Allows you to add or modify the welcome channel.;Permet d’ajouter ou de modifier le salon de bienvenue.;ウェルカムチャンネルの追加や変更ができます。
command.server.join.syntax; [channel]; [channel]; [salon];［チャンネル］
command.server.leave.desc;Allows you to add or modify the goodbye channel.;Allows you to add or modify the goodbye channel.;Permet d’ajouter ou de modifier le salon d’au revoir.;さよならチャンネの追加や変更ができます。
command.server.leave.syntax; [channel]; [channel]; [salon];［チャンネル］
command.server.rolejoin.desc;Allows you to add one or more roles to the new user.;Allows you to add one or more roles to the new user.;Permet d'ajouter un ou plusieurs rôles au nouvel utilisateur.;新しいユーザーに1つ以上のロールを追加することができます。
command.server.rolejoin.syntax; [role(s)]; [role(s)]; [rôle(s)];［ロール（ズ）］
server.error.jls.L1;Access denied;Access denied;Accès refusé;アクセスが拒否された
server.error.jls.L2;The following role(s) is (are) at the same height or higher than P.S.S.\n[ROLE];The following role(s) is (are) at the same height or higher than P.S.S.\n[ROLE];Le(s) rôle(s) suivant(s) est (sont) à même hauteur ou plus haut que P.S.S.\n[ROLE];以下の役割は、P.S.Sと同じかそれ以上の高さにあります。\n[ROLE]
